/mnt/scratch/users/mshustrov/BSP/HPC_project_folder
Christane_session1_0001	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0001.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0001.mp4	64	64
Christane_session1_0003	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0003.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0003.mp4	93	93
Christane_session1_0004	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0004.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0004.mp4	100	100
Christane_session1_0007	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0007.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0007.mp4	58	58
Christane_session1_0008	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0008.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0008.mp4	220	220
Christane_session1_0009	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0009.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0009.mp4	67	67
Christane_session1_0010	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0010.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0010.mp4	83	83
Christane_session1_0012	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0012.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0012.mp4	67	67
Christane_session1_0013	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0013.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0013.mp4	66	66
Christane_session1_0015	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0015.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0015.mp4	109	109
Christane_session1_0017	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0017.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0017.mp4	91	91
Christane_session1_0018	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0018.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0018.mp4	187	187
Christane_session1_0020	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0020.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0020.mp4	88	88
Christane_session1_0021	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0021.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0021.mp4	91	91
Christane_session1_0022	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0022.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0022.mp4	91	91
Christane_session1_0023	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0023.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0023.mp4	92	92
Christane_session1_0024	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0024.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0024.mp4	95	95
Christane_session1_0025	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0025.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0025.mp4	77	77
Christane_session1_0026	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0026.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0026.mp4	139	139
Christane_session1_0027	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/face_crops_npz/Christane_session1_0027.npz	/mnt/scratch/users/mshustrov/BSP/HPC_project_folder/Christane/Christane_Session_1/no_silence/Christane_session1_0027.mp4	48	48
